K,¬sall,¬snone,¬sany,sall,snone,sany
1,0.0015346089785452932,0.00159453199012205,0.0016136689810082316,0.0014795040187891573,0.0014668630028609186,0.0014956379891373217
1,0.001550740998936817,0.0017107460007537156,0.0015648500120732933,0.0014869770093355328,0.0015329329762607813,0.0015506019990425557
1,0.0015798649983480573,0.0016887469973880798,0.0015503230097237974,0.0015068820212036371,0.001581611024448648,0.0015620560152456164
1,0.0016835090063977987,0.0018855569942388684,0.00162232801085338,0.0014975930098444223,0.0016082199872471392,0.001964547991519794
1,0.001514075993327424,0.001732747012283653,0.0014942399866413325,0.001476711011491716,0.001550880988361314,0.002047727000899613
1,0.0018145999929402024,0.0015952299872878939,0.002172044012695551,0.0016294520173687488,0.0019005039939656854,0.0018122949986718595
1,0.0014482850092463195,0.0017582389991730452,0.0021218280016910285,0.0016048690013121814,0.0015531169774476439,0.0016141569940373302
1,0.0015045070031192154,0.0015496239939238876,0.0014869069855194539,0.0014869770093355328,0.001475662982556969,0.0014918660162948072
1,0.0015539550222456455,0.0015610780101269484,0.0015293000033125281,0.0015983030025381595,0.0014204190229065716,0.0014789459819439799
1,0.001453243981814012,0.0016043790092226118,0.0014629520010203123,0.0014674909762106836,0.0019448529928922653,0.0014623230090364814
2,0.0016066149983089417,0.0016967089904937893,0.001731140015181154,0.001490538998041302,0.0015066720079630613,0.001557306997710839
2,0.0019310240168124437,0.0019237599917687476,0.0019097919866908342,0.0020227239874657243,0.001680506014963612,0.002252918988233432
2,0.001623935007955879,0.0018289169820491225,0.0016756170080043375,0.0014780380006413907,0.0015552119875792414,0.0016141569940373302
2,0.001590830011991784,0.0017684350023046136,0.0016952419828157872,0.0015612870047334582,0.0016228870081249624,0.0017578889965079725
2,0.0016671659832354635,0.001673451013630256,0.001753697986714542,0.001584334997460246,0.0016621369868516922,0.0019234110077377409
2,0.0017442000098526478,0.0017230379744432867,0.0017008289869409055,0.0016956610197667032,0.0019306050089653581,0.0018476340046618134
2,0.0016263790021184832,0.0020781079947482795,0.0017269490053877234,0.0021184759971220046,0.0017064870044123381,0.0015353070048149675
2,0.001564570004120469,0.0021623359934892505,0.001844351994805038,0.0016082210058812052,0.0018572730186861008,0.0015100240125320852
