K,¬sall,¬snone,¬sany,sall,snone,sany
1,0.0030908779881428927,0.0031391369993798435,0.003727406990947202,0.0037903329939581454,0.0033421639818698168,0.0033870020124595612
1,0.0032087680010590702,0.0033764569961931556,0.0033232379937544465,0.003260380995925516,0.003848441003356129,0.0033768760040402412
1,0.0030695059977006167,0.0031468199740629643,0.005406520998803899,0.004274050996173173,0.00394768500700593,0.005648590013151988
1,0.003522563027217984,0.003337764006573707,0.0034580309875309467,0.00313997600460425,0.0030503699963446707,0.003150939999613911
1,0.0031066609953995794,0.0032948129810392857,0.0035852110013365746,0.0036963279999326915,0.0033405580034013838,0.003396431013243273
1,0.003200317994924262,0.0034136119938921183,0.003323238022858277,0.0030775379855185747,0.003384698007721454,0.0032795880106277764
1,0.0034067679953295738,0.003207442001439631,0.003382322989637032,0.0032670159998815507,0.003476678015431389,0.0034506279916968197
1,0.003264013008447364,0.003343003016198054,0.0037354379892349243,0.0033822529949247837,0.003222387982532382,0.0034017389989458025
1,0.0031943810172379017,0.003558252996299416,0.0033586470235604793,0.004091766022611409,0.0033217709860764444,0.00343072199029848
1,0.003311503998702392,0.0032426420075353235,0.003569007007172331,0.0032477399799972773,0.0034275100042577833,0.0035458900092635304
1,0.0035655859974212945,0.0035252170055173337,0.0034460879978723824,0.0032899240031838417,0.003470741998171434,0.003303332981886342
1,0.004202952986815944,0.0034007609938271344,0.003543794999131933,0.003530454996507615,0.003181669977493584,0.003619572991738096
2,0.0040458120056428015,0.0035209570196457207,0.003584302990930155,0.003222458006348461,0.003305079007986933,0.0038420150231104344
2,0.004071583010954782,0.004034426994621754,0.0039897990063764155,0.003720351989613846,0.004445231985300779,0.003349219012307003
2,0.0035473570169415325,0.003300957992905751,0.003944680996937677,0.003642830008175224,0.0035158579994458705,0.0033420950057916343
2,0.003454259014688432,0.0033286849793512374,0.003860105003695935,0.00345698298770003,0.0033550160005688667,0.003812123992247507
2,0.0034725579898804426,0.0035482649982441217,0.003707502008182928,0.0036053250078111887,0.003531224007019773,0.0034527220122981817
2,0.004310159012675285,0.003308153012767434,0.0037122519861441106,0.004005862021585926,0.0034383349993731827,0.004137791984248906
2,0.0036630140093620867,0.0035332489933352917,0.004073119023814797,0.0034197580243926495,0.0033254029985982925,0.0039025679870974272
2,0.003445809008553624,0.004502779978793114,0.003749825991690159,0.003277771989814937,0.003644297015853226,0.0037299910036381334
2,0.0033545269980095327,0.0032735110144130886,0.004132622998440638,0.003208000009180978,0.004020669002784416,0.00412130999029614
2,0.0035895410110242665,0.0035958969965577126,0.003753736993530765,0.0033129719959106296,0.0034335170057602227,0.0036207599914632738
2,0.003763444983633235,0.003311503998702392,0.003735019010491669,0.003270437999162823,0.004027234012028202,0.003255421994253993
2,0.003387142001884058,0.004667534987675026,0.003758067003218457,0.0032858730119187385,0.003441758017288521,0.003175873018335551
2,0.0033942659792955965,0.0033577390131540596,0.0036980040022172034,0.0033015169901773334,0.003303403005702421,0.0033530599903315306
2,0.0033731040020938963,0.0035148109891451895,0.0036959790159016848,0.0032672950183041394,0.003337695001391694,0.003198292979504913
2,0.003431491000810638,0.0033511740039102733,0.0036625940119847655,0.0032163819996640086,0.0032077209907583892,0.0033059169945772737
2,0.003468715993221849,0.00335969400475733,0.003783977997954935,0.0040959570033010095,0.0036112620146013796,0.003381415008334443
